type	latitude	longitude	altitude (m)	name	desc
T	-12.011024827	-76.946765825	304.0		
T	-12.010967316	-76.946901984	304.4		
T	-12.010949648	-76.947202770	305.1		
T	-12.010920276	-76.947304178	305.4		
T	-12.010861497	-76.947507081	306.0		
T	-12.010837963	-76.947708407	307.0		
T	-12.010845791	-76.947841474	307.6		
T	-12.010852986	-76.947974598	308.2		
T	-12.010867854	-76.948240633	309.3		
T	-12.010919791	-76.948471318	310.2		
T	-12.011007051	-76.948633209	310.3		
T	-12.011096587	-76.948827955	310.5		
T	-12.011148748	-76.949024565	310.9		
T	-12.011195307	-76.949188223	311.2		
T	-12.011238085	-76.949318744	311.4		
T	-12.011249185	-76.949517614	312.2		
T	-12.011258435	-76.949683338	312.9		
T	-12.011271906	-76.949915208	313.9		
T	-12.011246824	-76.950116469	314.9		
T	-12.011220118	-76.950284670	315.6		
T	-12.011204093	-76.950651920	316.7		
T	-12.011144110	-76.950788947	317.4		
T	-12.011152190	-76.950888110	318.5		
T	-12.011181156	-76.951117170	322.8		
T	-12.011140380	-76.951284171	326.0		
T	-12.011160719	-76.951380621	327.8		
T	-12.011181024	-76.951476921	329.6		
T	-12.011275867	-76.951790552	338.3		
T	-12.011315136	-76.951881724	342.2		
T	-12.011367920	-76.952069388	350.5		
T	-12.011436439	-76.952384417	365.5		
T	-12.011470750	-76.952575020	375.6		
T	-12.011498338	-76.952700187	383.2		
T	-12.011515003	-76.952762208	387.0		
T	-12.011572093	-76.953010873	402.0		
T	-12.011655459	-76.953283508	419.0		
T	-12.011695126	-76.953403221	426.9		
T	-12.011724783	-76.953492741	433.2		
T	-12.011783976	-76.953671072	445.5		
T	-12.011842398	-76.953815891	455.3		
T	-12.011880009	-76.953901568	461.0		
T	-12.011890776	-76.954109623	475.2		
T	-12.011953336	-76.954250399	481.1		
T	-12.011925957	-76.954372673	485.0		
T	-12.011922752	-76.954550473	490.4		
T	-12.011906774	-76.954732337	496.2		
T	-12.011947450	-76.954845877	498.7		
T	-12.011905005	-76.954972289	503.6		
T	-12.011938087	-76.955185538	499.0		
T	-12.011937826	-76.955347414	495.1		
T	-12.011900432	-76.955525183	491.1		
T	-12.011838174	-76.955747040	485.6		
T	-12.011729426	-76.955990725	472.9		
T	-12.011611193	-76.956307811	451.6		
T	-12.011577675	-76.956501289	439.0		
T	-12.011536832	-76.956653601	429.3		
T	-12.011548552	-76.956760702	422.4		
T	-12.011597000	-76.956863226	415.9		
T	-12.011620668	-76.957078649	401.8		
T	-12.011638115	-76.957332158	385.1		
T	-12.011607136	-76.957516420	373.3		
T	-12.011570149	-76.957704583	364.5		
T	-12.011520106	-76.957934524	353.9		
T	-12.011482836	-76.958192690	342.1		
T	-12.011461455	-76.958340806	335.5		
T	-12.011435957	-76.958594222	329.4		
T	-12.011424915	-76.958737413	325.9		
T	-12.011411081	-76.958916774	321.6		
T	-12.011399696	-76.959129424	316.4		
T	-12.011403172	-76.959299051	314.7		
T	-12.011414938	-76.959498209	313.5		
T	-12.011422616	-76.959631139	312.6		
T	-12.011428456	-76.959799517	311.6		
T	-12.011431958	-76.959900567	310.9		
T	-12.011437945	-76.960068941	310.0		
T	-12.011446944	-76.960304337	308.8		
T	-12.011453354	-76.960472554	308.1		
T	-12.011424097	-76.960611262	307.6		
T	-12.011431018	-76.960779252	306.8		
T	-12.011437939	-76.960947271	306.1		
T	-12.011443621	-76.961081642	305.6		
T	-12.011452143	-76.961283129	304.8		
T	-12.011460212	-76.961450137	304.1		
T	-12.011466801	-76.961583923	303.5		
T	-12.011473394	-76.961717704	303.0		
T	-12.011481630	-76.961884947	302.4		
T	-12.011452739	-76.962058541	302.0		
T	-12.011457887	-76.962193641	301.5		
T	-12.011464811	-76.962396656	300.8		
T	-12.011535479	-76.962386394	300.3		
T	-12.011564599	-76.962212392	300.7		
T	-12.011631975	-76.962135301	300.5		
T	-12.011731799	-76.961951473	300.6		
T	-12.011765235	-76.961913216	300.6		
T	-12.011758580	-76.961779739	301.1		
T	-12.011849617	-76.961498927	301.5		
T	-12.011879385	-76.961394294	301.7		
T	-12.011868874	-76.961160167	302.6		
T	-12.011860090	-76.960959354	303.4		
T	-12.011852588	-76.960792155	304.1		
T	-12.011875193	-76.960520306	304.3		
T	-12.011799115	-76.960395767	305.3		
T	-12.011792182	-76.960228206	305.6		
